0.121      937.41     55.17     952.28     56.54     906.32     50.58
0.173      714.72     42.57     713.58     44.09     603.32     36.62
0.247      552.16     40.38     551.71     40.77     460.28     28.24
0.352      414.42     35.66     411.74     33.96     346.20     25.24
0.501      312.35     28.37     306.81     26.41     254.14     20.73
0.714      226.84     23.97     220.18     22.02     186.01     17.48
1.017      154.15     18.02     150.92     16.68     127.03     13.17
1.448      103.35     12.78     100.13     11.64     88.78      9.53
2.060      72.28      10.07     70.81      9.27      65.63      7.43
2.934      52.52      7.36      51.86      6.84      51.03      6.09
4.178      38.36      5.69      37.86      5.22      36.04      4.18
5.946      27.48      4.39      26.73      4.17      25.88      3.70
8.467      19.03      3.18      18.83      3.08      18.99      2.80
12.056     12.90      2.17      12.78      2.11      12.64      2.08
17.163     7.73       1.66      7.53       1.66      7.29       1.66
